ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Sivakasi,207,GEN,"Balakrishnan, V.",All India Anna Dravida Munnetra Kazhagam,"1,35,976","87,398",64.30%,"25,733",29.40%
Srivilliputhur,208,GEN,Thamaraikkani R.,All India Anna Dravida Munnetra Kazhagam,"1,29,712","90,874",70.10%,"17,666",19.40%
Rajapalayam,209,SC,Mokkian P.,Independent,"1,31,952","87,786",66.50%,"8,581",9.80%
Vilathikulam,210,GEN,Perumal R.K.,All India Anna Dravida Munnetra Kazhagam,"1,16,745","76,930",65.90%,"6,640",8.60%
Pottapidaram,211,SC,"Appadurai, M.",Communist Party Of India,"1,09,571","64,720",59.10%,"2,678",4.10%
Koilpatti,212,GEN,"Alagarasamy, S.",Communist Party Of India,"1,13,218","77,599",68.50%,"8,650",11.10%
Sankaranayanarkoil,213,SC,"Durairaj, P.",All India Anna Dravida Munnetra Kazhagam,"1,21,949","66,128",54.20%,"2,382",3.60%
Vasudevanallur,214,SC,"Krishnan, R.",Communist Party Of India (MARXIST),"1,16,791","66,641",57.10%,"3,186",4.80%
Kadayanallur,215,GEN,Shahul Hameed A.,Independent,"1,10,307","76,596",69.40%,"1,871",2.40%
Tenkasi,216,GEN,Sattanatha Karayalar A. K.,All India Anna Dravida Munnetra Kazhagam,"1,14,840","74,565",64.90%,675,0.90%
Alangulam,217,GEN,"Navaneetha Krishna Pandian, R.",Gandhi Kamraj National Congress,"1,15,519","77,737",67.30%,"6,684",8.60%
Tirunelveli,218,GEN,"Nedunchezhiyan, V. R.",All India Anna Dravida Munnetra Kazhagam,"1,20,570","84,151",69.80%,"14,196",16.90%
Palayamcottai,219,GEN,"Karuppasami Pandian, V. R.",All India Anna Dravida Munnetra Kazhagam,"1,16,635","78,504",67.30%,"12,369",15.80%
Cheranmahadevi,220,GEN,"Pandian, P. H.",All India Anna Dravida Munnetra Kazhagam,"1,05,348","75,059",71.20%,"12,110",16.10%
Ambasamudram,221,GEN,Easwarmoorthy Alias Soranam,Communist Party Of India (MARXIST),"1,04,484","66,914",64.00%,"4,287",6.40%
Nanguneri,222,GEN,"John Vincent, N.",All India Anna Dravida Munnetra Kazhagam,"1,19,072","71,209",59.80%,"4,049",5.70%
Radhapuram,223,GEN,"Muthu Ramalingam, S.",Gandhi Kamraj National Congress,"1,16,959","71,382",61.00%,"6,636",9.30%
Sattangulam,224,GEN,"Ramasamy, S. N.",Gandhi Kamraj National Congress,"1,23,284","60,457",49.00%,"1,012",1.70%
Tiruchendur,225,GEN,"Kesava Athithan, S.",All India Anna Dravida Munnetra Kazhagam,"1,32,757","72,248",54.40%,"1,205",1.70%
Srivaikuntam,226,GEN,"Ramasubramanian, E.",All India Anna Dravida Munnetra Kazhagam,"1,11,712","68,823",61.60%,"2,098",3.00%
Tuticorin,227,GEN,"Rajendran, S. N.",All India Anna Dravida Munnetra Kazhagam,"1,42,776","94,722",66.30%,"14,806",15.60%
Kanniyakumari,228,GEN,"Muthukrishnan, S.",All India Anna Dravida Munnetra Kazhagam,"1,12,972","75,475",66.80%,"7,098",9.40%
Nagercoil,229,GEN,"Vincent, M.",All India Anna Dravida Munnetra Kazhagam,"1,30,424","72,284",55.40%,"9,283",12.80%
Colachel,230,GEN,Retnaraj,Dravida Munetra Kazhagam,"1,15,330","64,720",56.10%,"21,822",33.70%
Padmanabhapuram,231,GEN,"Muthammad Ismail, P.",Janata Party (JP),"1,01,364","53,447",52.70%,"2,324",4.30%
Thiruvattar,232,GEN,Hemachandran J.,Communist Party Of India (MARXIST),"1,01,139","62,255",61.60%,"12,364",19.90%
Vilavancode,233,GEN,Moni D.,Communist Party Of India (MARXIST),"1,22,522","64,355",52.50%,"8,822",13.70%
Killiyoor,234,GEN,Vijayaraghavan P.,Janata Party (JP),"97,360","58,596",60.20%,"14,830",25.30%
