ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Koilpatti,212,GEN,S. Alagarsamy,Communist Party Of India,"1,07,794","67,973",63.10%,397,0.60%
Sankaranayanarkoil,213,SC,S. Subbiah,Dravida Munetra Kazhagam,"1,21,097","63,902",52.80%,337,0.50%
Vasudevanallur,214,SC,R. Krishnan,Communist Party Of India (MARXIST),"1,21,099","61,509",50.80%,"4,044",6.60%
Kadayanallur,215,GEN,M.M.A. Razak,All India Anna Dravida Munnetra Kazhagam,"1,08,473","76,660",70.70%,"5,661",7.40%
Tenkasi,216,GEN,S. Muthusamy Karayalar,Indian National Congress,"1,02,800","74,171",72.20%,"11,784",15.90%
Alangulam,217,GEN,V. Karuppasamypandian,All India Anna Dravida Munnetra Kazhagam,"1,14,602","72,074",62.90%,"1,841",2.60%
Tirunelveli,218,GEN,G.R. Edmund,All India Anna Dravida Munnetra Kazhagam,"1,16,395","69,248",59.50%,"7,294",10.50%
Palayamcottai,219,GEN,K. Manoharan,All India Anna Dravida Munnetra Kazhagam,"1,10,603","66,763",60.40%,"13,954",20.90%
Cheranmahadevi,220,GEN,Pandian,All India Anna Dravida Munnetra Kazhagam,"1,02,377","69,360",67.70%,"2,292",3.30%
Ambasamudram,221,GEN,Eswaramoorthy Alias Soranam,Communist Party Of India (MARXIST),"99,927","66,953",67.00%,"1,787",2.70%
Nanguneri,222,GEN,M. John Vincent,Janta Party,"1,20,256","67,988",56.50%,204,0.30%
Radhapuram,223,GEN,Y.S.M. Yusuf,All India Anna Dravida Munnetra Kazhagam,"1,19,868","69,147",57.70%,"3,594",5.20%
Sattangulam,224,GEN,R. Jebamani,Janta Party,"1,36,771","68,009",49.70%,855,1.30%
Tiruchendur,225,GEN,R. Amirtharaj,All India Anna Dravida Munnetra Kazhagam,"1,39,451","72,302",51.80%,"1,135",1.60%
Srivaikuntam,226,GEN,K. Sathu Solvaraj,All India Anna Dravida Munnetra Kazhagam,"1,12,893","66,189",58.60%,"3,540",5.30%
Tuticorin,227,GEN,N. Dhanasekaran,All India Anna Dravida Munnetra Kazhagam,"1,24,642","81,195",65.10%,"1,219",1.50%
Kanniyakumari,228,GEN,C. Krishnan,All India Anna Dravida Munnetra Kazhagam,"1,04,698","70,082",66.90%,"7,212",10.30%
Nagercoil,229,GEN,M. Vincent,All India Anna Dravida Munnetra Kazhagam,"1,32,870","74,404",56.00%,193,0.30%
Colachel,230,GEN,R. Athiswami,Janta Party,"1,11,755","69,948",62.60%,"1,182",1.70%
Padmanabhapuram,231,GEN,A. Swamidhas,Janta Party,"97,615","48,222",49.40%,"8,153",16.90%
Thiruvattar,232,GEN,J. James,Janta Party,"96,167","57,300",59.60%,"1,620",2.80%
Vilavancode,233,GEN,D. Gnanasigamony,Communist Party Of India (MARXIST),"1,17,831","67,279",57.10%,"1,933",2.90%
Killiyoor,234,GEN,P. Vijayaraghavan,Janta Party,"95,659","43,455",45.40%,"25,928",59.70%
